AGGREGATE_BUNDLED v2,,,,,,,,,
all SKUs are unique,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,,GradStreet SKU,FNSKU,Packaging,Labels,order
22,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 104",ALL YEAR TAGS,,UBC0171S42T01040000K01,X0022OD69F,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",47
58,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 006",ALL YEAR TAGS,,UBC0171S45T00060000K01,X0022NEDTD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",48
92,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 017",ALL YEAR TAGS,,UBC0171S45T00170000K01,X0022P8EAZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",49
38,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171S45T00170310K01,X0022OD69P,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",50
115,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 019",ALL YEAR TAGS,,UBC0171S45T00190000K01,X0022S1TCR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",51
8,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 020",ALL YEAR TAGS,,UBC0171S45T00200000K01,X0022NED7P,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",52
84,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171S45T00250190K01,X0022P8MJN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",53
169,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 104",ALL YEAR TAGS,,UBC0171S45T01040000K01,X0022OD68B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",54
5,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 220",ALL YEAR TAGS,,UBC0171S45T08980000K01,X0022S1TE5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",55
53,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 006",ALL YEAR TAGS,,UBC0171S51T00060000K01,X0022OD59L,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",56
149,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 017",ALL YEAR TAGS,,UBC0171S51T00170000K01,X0022OD6AJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",57
62,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171S51T00170310K01,X0022R2CC9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",58
13,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 020",ALL YEAR TAGS,,UBC0171S51T00200000K01,X0022P8M93,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",59
136,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171S51T00250190K01,X0022OD5N7,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",60
8,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 220",ALL YEAR TAGS,,UBC0171S51T08980000K01,X0022OD29J,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",61
62,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 006",ALL YEAR TAGS,,UBC0171S54T00060000K01,X0022OD6A9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",62
97,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 017",ALL YEAR TAGS,,UBC0171S54T00170000K01,X0022OD5NR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",63
41,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171S54T00170310K01,X0022OD59B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",64
9,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 020",ALL YEAR TAGS,,UBC0171S54T00200000K01,X0022NEDRZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",65
89,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171S54T00250190K01,X0022S1UNZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",66
27,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 104",ALL YEAR TAGS,,UBC0171S54T01040000K01,X0022P8EAF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",67
5,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 220",ALL YEAR TAGS,,UBC0171S54T08980000K01,X0022NE9IX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",68
33,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 006",ALL YEAR TAGS,,UBC0171S57T00060000K01,X0022P8KF9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",69
52,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 017",ALL YEAR TAGS,,UBC0171S57T00170000K01,X0022P8KGN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",70
22,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171S57T00170310K01,X0022NEDBB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",71
76,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 019",ALL YEAR TAGS,,UBC0171S57T00190000K01,X0022Q71C1,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",72
5,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 020",ALL YEAR TAGS,,UBC0171S57T00200000K01,X0022Q71HV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",73
48,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171S57T00250190K01,X0022P8MI9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",74
95,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 104",ALL YEAR TAGS,,UBC0171S57T01040000K01,X0022NEA3H,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",75
3,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 220",ALL YEAR TAGS,,UBC0171S57T08980000K01,X0022P8MHP,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",76
